Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-06-30,38.527,38.894,38.324,38.568,44974435,0.0,0
2016-07-04,39.22,39.708,39.138,39.22,46703483,0.0,0
2016-07-05,38.894,39.016,38.487,38.568,25317806,0.0,0
2016-07-06,37.876,38.364,37.509,38.12,30226088,0.0,0
2016-07-07,38.039,38.365,37.917,38.283,17522984,0.0,0
2016-07-08,37.754,38.242,37.754,38.161,17433532,0.0,0
2016-07-11,38.894,38.935,38.609,38.772,19751494,0.0,0
2016-07-12,39.179,39.586,39.098,39.423,35820363,0.0,0
2016-07-13,39.708,39.953,39.586,39.627,26373435,0.0,0
2016-07-14,39.586,40.319,39.383,40.156,29197715,0.0,0
2016-07-15,40.279,40.564,40.034,40.401,30596735,0.0,0
2016-07-18,40.238,40.645,40.156,40.523,20793265,0.0,0
2016-07-19,40.401,40.564,40.197,40.319,16116949,0.0,0
2016-07-20,40.319,41.093,40.279,40.93,26981365,0.0,0
2016-07-21,41.134,41.338,41.012,41.093,22091667,0.0,0
2016-07-22,40.93,41.052,40.727,41.012,13407251,0.0,0
2016-07-25,41.012,41.052,40.767,40.93,12635677,0.0,0
2016-07-26,40.727,41.338,40.686,40.93,23433937,0.0,0
2016-07-27,41.215,41.338,40.971,41.215,25335740,0.0,0
2016-07-28,41.297,41.541,41.175,41.378,21273412,0.0,0
2016-07-29,40.971,41.215,40.89,41.175,22758976,0.0,0
2016-08-01,41.378,41.623,41.338,41.378,20010122,0.0,0
2016-08-02,41.378,41.378,41.378,41.378,0,0.0,0
2016-08-03,40.727,42.193,40.523,42.03,56329544,0.0,0
2016-08-04,42.641,43.374,42.519,43.17,47823582,0.0,0
2016-08-05,43.415,43.863,43.374,43.578,34276558,0.0,0
2016-08-08,43.985,44.514,43.863,44.392,30280680,0.0,0
2016-08-09,44.392,44.433,43.985,44.27,18457886,0.0,0
2016-08-10,44.433,44.799,44.27,44.596,23417108,0.0,0
2016-08-11,44.534,45.278,44.493,44.865,22647825,0.775761,0
2016-08-12,45.113,45.278,45.113,45.113,15746455,0.0,0
2016-08-15,45.154,45.319,44.7,45.071,18400121,0.0,0
2016-08-16,44.947,45.113,44.493,44.782,19725679,0.0,0
2016-08-17,45.154,45.443,45.113,45.113,28134050,0.0,0
2016-08-18,45.278,45.856,45.278,45.608,23470279,0.0,0
2016-08-19,45.856,45.856,45.237,45.361,13976388,0.0,0
2016-08-22,45.443,45.567,45.237,45.567,11457146,0.0,0
2016-08-23,45.485,45.65,45.319,45.608,12370154,0.0,0
2016-08-24,45.608,45.691,45.361,45.608,12677738,0.0,0
2016-08-25,45.815,46.146,45.691,45.815,20007306,0.0,0
2016-08-26,45.815,46.269,45.815,46.187,15653855,0.0,0
2016-08-29,46.104,46.228,45.856,45.98,12979109,0.0,0
2016-08-30,46.187,46.641,46.146,46.435,25250148,0.0,0
2016-08-31,46.6,47.757,46.476,47.509,48017413,0.0,0
2016-09-01,47.467,49.161,47.344,48.831,66929272,0.0,0
2016-09-02,48.748,49.409,48.748,48.748,57782797,0.0,0
2016-09-05,49.698,50.07,49.368,49.533,41344771,0.0,0
2016-09-06,49.533,49.946,48.996,49.492,33865710,0.0,0
2016-09-07,49.161,49.45,48.789,48.789,42952358,0.0,0
2016-09-08,48.542,49.244,48.5,48.996,42652309,0.0,0
2016-09-09,49.079,49.946,48.872,49.409,44400613,0.0,0
2016-09-12,48.789,49.079,48.128,48.128,41311377,0.0,0
2016-09-13,48.583,48.831,47.922,47.922,29584063,0.0,0
2016-09-14,47.509,47.798,47.302,47.426,38366574,0.0,0
2016-09-15,47.509,48.335,47.509,48.211,22560247,0.0,0
2016-09-19,47.798,48.624,47.798,48.459,38838762,0.0,0
2016-09-20,48.376,48.955,48.128,48.707,31229119,0.0,0
2016-09-21,48.5,49.45,48.418,49.079,34045815,0.0,0
2016-09-22,49.409,49.698,48.211,48.376,43595992,0.0,0
2016-09-23,48.542,48.748,47.674,47.963,44806106,0.0,0
2016-09-26,47.509,48.17,47.096,47.385,33044980,0.0,0
2016-09-27,47.509,48.459,47.385,48.005,30959678,0.0,0
2016-09-28,48.17,48.252,47.426,48.046,28121293,0.0,0
2016-09-29,48.252,48.294,47.798,48.046,17086662,0.0,0
2016-09-30,47.591,47.798,47.013,47.22,35683352,0.0,0
